event_starttime,hgc_x,hgc_y
1997-01-05T00:00:00,13.0632099,-2
1997-01-06T00:00:00,12.8938,-3
1997-01-07T00:00:00,13.72461,-4
1997-01-08T00:00:00,12.55564,-5
1997-01-10T00:00:00,-9.78167999999999,38
1997-01-11T00:00:00,-9.95004999999998,38
1997-01-12T00:00:00,-10.11822,34
1997-01-16T00:00:00,-159.78915,-6
1997-01-17T00:00:00,-159.95648,-5
1997-01-18T00:00:00,-159.12367,-6
1997-01-19T00:00:00,172.70927,27
1997-01-19T00:00:00,-159.29073,-6
1997-01-19T00:00:00,119.70927,-32
1997-01-25T00:00:00,46.70921,-13
1997-01-26T00:00:00,46.542819,-12
1997-01-27T00:00:00,43.376477,-14
1997-01-28T00:00:00,41.210174,-16
1997-01-29T00:00:00,43.043899,-15
1997-01-30T00:00:00,5.877639,7
1997-01-31T00:00:00,5.711382,3
1997-02-01T00:00:00,5.545115,5
1997-02-02T00:00:00,7.37882999999999,4
1997-02-03T00:00:00,-35.7875,-21
1997-02-03T00:00:00,8.21249999999998,5
1997-02-04T00:00:00,9.04611999999997,5
1997-02-04T00:00:00,-35.95388,-21
1997-02-05T00:00:00,9.87968000000001,5
1997-02-05T00:00:00,-36.12032,-21
1997-02-06T00:00:00,10.71317,5
1997-02-06T00:00:00,-35.28683,-20
1997-02-07T00:00:00,-34.45344,-20
1997-02-07T00:00:00,11.54656,6
1997-02-07T00:00:00,-6.45344,35
1997-02-08T00:00:00,-7.62016,33
1997-02-08T00:00:00,-34.62016,-19
1997-02-08T00:00:00,10.37984,4
1997-02-09T00:00:00,-34.78699,-20
1997-02-10T00:00:00,-34.95396,-19
1997-02-19T00:00:00,-164.46525,10
1997-02-20T00:00:00,-161.6344,5
1997-02-25T00:00:00,1.514966,25
1997-02-26T00:00:00,3.343756,26
1997-03-07T00:00:00,-149.21682,6
1997-03-08T00:00:00,-150.39268,7
1997-03-09T00:00:00,-149.56908,6
1997-03-09T00:00:00,-143.56908,-30
1997-03-10T00:00:00,-146.74604,6
1997-03-10T00:00:00,-144.74604,-29
1997-03-11T00:00:00,-150.92357,7
1997-03-12T00:00:00,-149.10169,7
1997-03-13T00:00:00,-149.28041,7
1997-03-14T00:00:00,-148.45974,8
1997-03-15T00:00:00,-148.63969,-29
1997-03-15T00:00:00,-149.63969,8
1997-03-15T00:00:00,-159.63969,-5
1997-03-16T00:00:00,-159.82027,-4
1997-03-16T00:00:00,-149.82027,7
1997-03-16T00:00:00,-148.82027,-31
1997-03-17T00:00:00,-153.00151,-33
1997-03-17T00:00:00,-160.00151,-4
1997-03-18T00:00:00,-159.1834,-4
